('banderín', 0.8770580193070293)
('entrenador', 0.76271276980969)
('delantero', 0.6689936080056726)
('saque de banda', 0.6527139518645054)
('defensa', 0.6471502289294341)
('driblar', 0.6471502289294341)
('ganador', 0.6471502289294341)
('hinchada', 0.5604485383178051)
('lanzamiento de falta', 0.5563486402641868)
('derrota', 0.5547001962252291)
('himno nacional', 0.5439282932204212)
('aficionados', 0.5381382351970501)
('botines', 0.5241424183609592)
('estadio', 0.5241424183609592)
('repetición', 0.5188745216627709)
('silla de estadio', 0.5063696835418333)
('barrera', 0.5012804118276031)
('balón', 0.49613893835683387)
('penal', 0.49613893835683387)
('gradas', 0.49029033784546)
('saque de esquina', 0.49029033784546)
('balón de fútbol', 0.48418202613504197)
('marcador', 0.4803844614152615)
('lesión', 0.45291081365783836)
('centrocampista', 0.43412157106222965)
('espectadores', 0.43412157106222965)
('rematar', 0.41812100500354543)
('fuera de juego', 0.39629696195060854)
('remate', 0.39223227027636803)
('arquero', 0.36980013081681945)
('vestuario', 0.36980013081681945)
('árbitro', 0.36980013081681945)
('camiseta', 0.3508232077228117)
('cancha', 0.3508232077228117)
('portería', 0.3508232077228117)
('tiempo extra', 0.34668762264076824)
('césped', 0.33968311024337877)
('tarjeta', 0.3344968040028363)
('cabezazo', 0.3202563076101743)
('arco', 0.2773500981126146)
('liga', 0.2773500981126146)
('técnico', 0.2773500981126146)
('equipo', 0.22645540682891918)
('fútbol sala', 0.21483446221182986)
('falta', 0.20965696734438366)
('tiro al gol', 0.20180183819889375)
('copa', 0.1386750490563073)
('gol', 0.0)
