('lesión', 1.0000000000000002)
('repetición', 0.6546536707079772)
('botines', 0.6172133998483676)
('silla de estadio', 0.5962847939999439)
('balón', 0.5477225575051661)
('penal', 0.5477225575051661)
('defensa', 0.5443310539518174)
('saque de esquina', 0.5051814855409226)
('delantero', 0.492365963917331)
('himno nacional', 0.4803844614152615)
('estadio', 0.4629100498862757)
('espectadores', 0.45643546458763845)
('balón de fútbol', 0.445435403187374)
('lanzamiento de falta', 0.44095855184409843)
('entrenador', 0.4082482904638631)
('liga', 0.4082482904638631)
('vestuario', 0.4082482904638631)
('aficionados', 0.39605901719066977)
('banderín', 0.3872983346207417)
('camiseta', 0.3872983346207417)
('centrocampista', 0.3651483716701107)
('césped', 0.33333333333333337)
('equipo', 0.33333333333333337)
('saque de banda', 0.3202563076101743)
('fútbol sala', 0.31622776601683794)
('tiempo extra', 0.3061862178478973)
('tiro al gol', 0.2970442628930023)
('remate', 0.2886751345948129)
('driblar', 0.2721655269759087)
('técnico', 0.2721655269759087)
('fuera de juego', 0.25000000000000006)
('gol', 0.23570226039551587)
('hinchada', 0.23570226039551587)
('falta', 0.1543033499620919)
('gradas', 0.14433756729740646)
('arquero', 0.13608276348795434)
('derrota', 0.13608276348795434)
('ganador', 0.13608276348795434)
('árbitro', 0.13608276348795434)
('cancha', 0.12909944487358058)
('portería', 0.12909944487358058)
('rematar', 0.12309149097933275)
('tarjeta', 0.12309149097933275)
('cabezazo', 0.11785113019775793)
('barrera', 0.10540925533894598)
('arco', 0.0)
('copa', 0.0)
('marcador', 0.0)
