('repetición', 0.8571428571428571)
('botines', 0.8081220356417685)
('tiempo extra', 0.7349684152591671)
('espectadores', 0.7171371656006361)
('vestuario', 0.7126966450997984)
('estadio', 0.7071067811865476)
('entrenador', 0.6681531047810609)
('centrocampista', 0.6573757351339165)
('equipo', 0.6546536707079772)
('lesión', 0.6546536707079772)
('delantero', 0.6446583712203042)
('portería', 0.5916079783099616)
('silla de estadio', 0.5855400437691199)
('remate', 0.5669467095138409)
('defensa', 0.5345224838248488)
('derrota', 0.5345224838248488)
('árbitro', 0.5345224838248488)
('saque de esquina', 0.5197011503876874)
('aficionados', 0.5185629788417315)
('camiseta', 0.50709255283711)
('penal', 0.47809144373375745)
('himno nacional', 0.47172817652486326)
('lanzamiento de falta', 0.4536323543632774)
('arquero', 0.44543540318737396)
('técnico', 0.44543540318737396)
('césped', 0.4364357804719848)
('fuera de juego', 0.4364357804719848)
('banderín', 0.4225771273642583)
('rematar', 0.4029114820126901)
('tarjeta', 0.4029114820126901)
('tiro al gol', 0.38892223413129867)
('driblar', 0.3563483225498992)
('barrera', 0.3450327796711771)
('saque de banda', 0.3144854510165755)
('balón de fútbol', 0.2916059217599022)
('arco', 0.2672612419124244)
('copa', 0.2672612419124244)
('ganador', 0.2672612419124244)
('liga', 0.2672612419124244)
('cabezazo', 0.23145502494313788)
('hinchada', 0.23145502494313788)
('marcador', 0.23145502494313788)
('fútbol sala', 0.20701966780270628)
('gradas', 0.1889822365046136)
('gol', 0.15430334996209194)
('balón', 0.11952286093343936)
('falta', 0.10101525445522107)
('cancha', 0.08451542547285165)
