('himno nacional', 0.8740284488750758)
('lanzamiento de falta', 0.716335318826566)
('aficionados', 0.6755660236665676)
('ganador', 0.618984460590173)
('tiro al gol', 0.5854905538443586)
('liga', 0.5570860145311556)
('cabezazo', 0.5360562674188974)
('balón', 0.4982728791224398)
('centrocampista', 0.4982728791224398)
('penal', 0.4982728791224398)
('botines', 0.49130368444051753)
('hinchada', 0.4824506406770077)
('silla de estadio', 0.4746444525345673)
('banderín', 0.46977617561176277)
('entrenador', 0.4642383454426297)
('lesión', 0.4548588261473421)
('delantero', 0.44791400876468346)
('balón de fútbol', 0.44574249416020933)
('técnico', 0.43328912241312106)
('fútbol sala', 0.43151697133684574)
('gol', 0.428845013935118)
('estadio', 0.42111744380615784)
('camiseta', 0.4110541536602924)
('cancha', 0.4110541536602924)
('saque de banda', 0.4005963724010764)
('marcador', 0.37523938719322825)
('vestuario', 0.3713906763541038)
('arco', 0.3713906763541037)
('copa', 0.3713906763541037)
('tiempo extra', 0.3713906763541037)
('saque de esquina', 0.361092690364237)
('falta', 0.3509312031717982)
('repetición', 0.3474041668898256)
('gradas', 0.32826608214930636)
('defensa', 0.3094922302950865)
('driblar', 0.3094922302950865)
('equipo', 0.3032392174315614)
('rematar', 0.2799462554779272)
('fuera de juego', 0.2653343152526162)
('arquero', 0.24759378423606918)
('derrota', 0.24759378423606918)
('árbitro', 0.24759378423606918)
('portería', 0.23488808780588138)
('tarjeta', 0.22395700438234173)
('remate', 0.19695964928958382)
('barrera', 0.19178532059415365)
('espectadores', 0.16609095970747995)
('césped', 0.0)
