('himno nacional', 0.9468641529479987)
('aficionados', 0.7656414934887765)
('técnico', 0.6808829066491903)
('centrocampista', 0.6643638388299198)
('lanzamiento de falta', 0.6590284933204408)
('cancha', 0.6459422414661737)
('ganador', 0.618984460590173)
('hinchada', 0.5896618941607872)
('tiro al gol', 0.5854905538443586)
('arco', 0.5570860145311556)
('copa', 0.5570860145311556)
('liga', 0.5570860145311556)
('camiseta', 0.5284981975632331)
('balón', 0.4982728791224398)
('penal', 0.4982728791224398)
('botines', 0.49130368444051753)
('marcador', 0.4824506406770077)
('silla de estadio', 0.4746444525345673)
('banderín', 0.46977617561176277)
('entrenador', 0.4642383454426297)
('lesión', 0.4548588261473421)
('delantero', 0.44791400876468346)
('repetición', 0.4466625002869187)
('balón de fútbol', 0.44574249416020933)
('fútbol sala', 0.43151697133684574)
('cabezazo', 0.428845013935118)
('gol', 0.428845013935118)
('estadio', 0.42111744380615784)
('saque de banda', 0.4005963724010764)
('vestuario', 0.3713906763541038)
('tiempo extra', 0.3713906763541037)
('saque de esquina', 0.361092690364237)
('falta', 0.3509312031717982)
('gradas', 0.32826608214930636)
('defensa', 0.3094922302950865)
('driblar', 0.3094922302950865)
('equipo', 0.3032392174315614)
('rematar', 0.2799462554779272)
('fuera de juego', 0.2653343152526162)
('espectadores', 0.2491364395612199)
('arquero', 0.24759378423606918)
('derrota', 0.24759378423606918)
('árbitro', 0.24759378423606918)
('portería', 0.23488808780588138)
('tarjeta', 0.22395700438234173)
('remate', 0.19695964928958382)
('barrera', 0.19178532059415365)
('césped', 0.1516196087157807)
