('aficionados', 0.9761870601839528)
('himno nacional', 0.7016464154456235)
('estadio', 0.6761234037828131)
('centrocampista', 0.5999999999999999)
('ganador', 0.5962847939999439)
('lanzamiento de falta', 0.586555725441001)
('hinchada', 0.5809475019311126)
('silla de estadio', 0.5715476066494082)
('camiseta', 0.5656854249492379)
('arco', 0.5590169943749475)
('copa', 0.5590169943749475)
('defensa', 0.5217491947499509)
('técnico', 0.5217491947499509)
('vestuario', 0.5217491947499509)
('fútbol sala', 0.5196152422706631)
('marcador', 0.5163977794943222)
('botines', 0.5070925528371099)
('falta', 0.5070925528371099)
('cancha', 0.4949747468305832)
('gradas', 0.4743416490252569)
('cabezazo', 0.45184805705753195)
('liga', 0.4472135954999579)
('saque de banda', 0.43852900965351466)
('tiro al gol', 0.4338609156373123)
('delantero', 0.40451991747794525)
('espectadores', 0.3999999999999999)
('saque de esquina', 0.3952847075210474)
('entrenador', 0.3913118960624632)
('balón de fútbol', 0.3903600291794133)
('derrota', 0.37267799624996495)
('driblar', 0.37267799624996495)
('equipo', 0.3651483716701107)
('lesión', 0.3651483716701107)
('repetición', 0.35856858280031806)
('banderín', 0.35355339059327373)
('tiempo extra', 0.33541019662496846)
('fuera de juego', 0.3195048252113469)
('balón', 0.29999999999999993)
('penal', 0.29999999999999993)
('arquero', 0.29814239699997197)
('árbitro', 0.29814239699997197)
('portería', 0.28284271247461895)
('césped', 0.27386127875258304)
('rematar', 0.26967994498529685)
('tarjeta', 0.26967994498529685)
('gol', 0.2581988897471611)
('barrera', 0.23094010767585027)
('remate', 0.15811388300841897)
