('lesión', 0.9525793444156805)
('botines', 0.629940788348712)
('silla de estadio', 0.6085806194501846)
('defensa', 0.5555555555555556)
('repetición', 0.5345224838248488)
('saque de esquina', 0.5303300858899106)
('espectadores', 0.5217491947499509)
('estadio', 0.5039526306789696)
('balón', 0.4472135954999579)
('penal', 0.4472135954999579)
('vestuario', 0.4444444444444444)
('camiseta', 0.4216370213557839)
('césped', 0.4082482904638631)
('aficionados', 0.40422604172722165)
('delantero', 0.40201512610368484)
('himno nacional', 0.3922322702763681)
('centrocampista', 0.37267799624996495)
('balón de fútbol', 0.363696483726654)
('lanzamiento de falta', 0.3600411499115478)
('fútbol sala', 0.3442651863295481)
('entrenador', 0.3333333333333333)
('liga', 0.3333333333333333)
('saque de banda', 0.3268602252303067)
('banderín', 0.31622776601683794)
('equipo', 0.2721655269759087)
('tiempo extra', 0.25)
('tiro al gol', 0.242535625036333)
('gradas', 0.2357022603955158)
('remate', 0.2357022603955158)
('driblar', 0.2222222222222222)
('técnico', 0.2222222222222222)
('fuera de juego', 0.20412414523193154)
('gol', 0.19245008972987526)
('hinchada', 0.19245008972987526)
('falta', 0.1259881576697424)
('arquero', 0.1111111111111111)
('derrota', 0.1111111111111111)
('ganador', 0.1111111111111111)
('árbitro', 0.1111111111111111)
('cancha', 0.10540925533894598)
('portería', 0.10540925533894598)
('rematar', 0.10050378152592121)
('tarjeta', 0.10050378152592121)
('cabezazo', 0.09622504486493763)
('barrera', 0.08606629658238703)
('arco', 0.0)
('copa', 0.0)
('marcador', 0.0)
