('repetición', 0.8571428571428571)
('botines', 0.7071067811865476)
('tiempo extra', 0.6681531047810609)
('centrocampista', 0.6573757351339165)
('equipo', 0.6546536707079772)
('técnico', 0.6236095644623235)
('estadio', 0.6060915267313265)
('espectadores', 0.5976143046671968)
('delantero', 0.5640760748177662)
('lesión', 0.545544725589981)
('entrenador', 0.5345224838248488)
('vestuario', 0.5345224838248488)
('himno nacional', 0.5241424183609592)
('aficionados', 0.5185629788417315)
('camiseta', 0.50709255283711)
('silla de estadio', 0.4879500364742666)
('penal', 0.47809144373375745)
('remate', 0.472455591261534)
('lanzamiento de falta', 0.4536323543632774)
('defensa', 0.44543540318737396)
('césped', 0.4364357804719848)
('saque de esquina', 0.4252100321353806)
('portería', 0.4225771273642583)
('copa', 0.4008918628686366)
('fuera de juego', 0.3818813079129867)
('derrota', 0.3563483225498992)
('árbitro', 0.3563483225498992)
('banderín', 0.3380617018914066)
('tiro al gol', 0.3241018617760822)
('tarjeta', 0.3223291856101521)
('cabezazo', 0.3086066999241839)
('hinchada', 0.3086066999241839)
('balón de fútbol', 0.2916059217599022)
('arco', 0.2672612419124244)
('arquero', 0.2672612419124244)
('liga', 0.2672612419124244)
('saque de banda', 0.2620712091804796)
('cancha', 0.253546276418555)
('rematar', 0.24174688920761409)
('driblar', 0.1781741612749496)
('ganador', 0.1781741612749496)
('gol', 0.15430334996209194)
('marcador', 0.15430334996209194)
('barrera', 0.13801311186847084)
('fútbol sala', 0.13801311186847084)
('balón', 0.11952286093343936)
('falta', 0.10101525445522107)
('gradas', 0.0)
